pegRNA_id,total,extracted,recombined
pegRNA_1,77.0,38.0,39.0
pegRNA_2,252.0,190.0,62.0
pegRNA_3,114.0,34.0,80.0
pegRNA_4,61.0,34.0,27.0
pegRNA_5,123.0,105.0,18.0
pegRNA_6,590.0,476.0,114.0
pegRNA_7,773.0,615.0,158.0
pegRNA_8,113.0,93.0,20.0
pegRNA_9,38.0,31.0,7.0
pegRNA_10,52.0,47.0,5.0
pegRNA_11,49.0,22.0,27.0
pegRNA_12,193.0,133.0,60.0
pegRNA_13,52.0,4.0,48.0
pegRNA_14,108.0,98.0,10.0
pegRNA_15,21.0,10.0,11.0
pegRNA_16,203.0,143.0,60.0
pegRNA_17,138.0,81.0,57.0
pegRNA_18,277.0,237.0,40.0
pegRNA_19,62.0,33.0,29.0
pegRNA_20,32.0,30.0,2.0
pegRNA_21,2.0,1.0,1.0
pegRNA_22,85.0,24.0,61.0
pegRNA_23,5.0,2.0,3.0
pegRNA_24,18.0,2.0,16.0
pegRNA_25,10.0,10.0,0.0
pegRNA_26,13.0,4.0,9.0
pegRNA_27,47.0,24.0,23.0
pegRNA_28,1.0,0.0,1.0
pegRNA_29,218.0,203.0,15.0
pegRNA_30,150.0,107.0,43.0
pegRNA_31,16.0,6.0,10.0
pegRNA_32,29.0,15.0,14.0
pegRNA_33,14.0,12.0,2.0
pegRNA_34,53.0,52.0,1.0
pegRNA_35,87.0,68.0,19.0
pegRNA_36,502.0,434.0,68.0
pegRNA_37,246.0,204.0,42.0
pegRNA_38,158.0,147.0,11.0
pegRNA_39,238.0,198.0,40.0
pegRNA_40,59.0,45.0,14.0
pegRNA_41,86.0,72.0,14.0
pegRNA_42,47.0,25.0,22.0
pegRNA_43,51.0,30.0,21.0
pegRNA_44,124.0,116.0,8.0
pegRNA_45,35.0,29.0,6.0
pegRNA_46,103.0,86.0,17.0
pegRNA_47,22.0,13.0,9.0
pegRNA_48,43.0,33.0,10.0
pegRNA_49,102.0,98.0,4.0
pegRNA_50,41.0,37.0,4.0
pegRNA_51,25.0,15.0,10.0
pegRNA_52,6.0,5.0,1.0
pegRNA_53,33.0,13.0,20.0
pegRNA_54,13.0,3.0,10.0
pegRNA_55,8.0,6.0,2.0
pegRNA_56,57.0,44.0,13.0
pegRNA_57,48.0,41.0,7.0
pegRNA_58,152.0,116.0,36.0
pegRNA_59,98.0,50.0,48.0
pegRNA_60,30.0,22.0,8.0
pegRNA_61,68.0,31.0,37.0
pegRNA_62,26.0,16.0,10.0
pegRNA_63,27.0,20.0,7.0
pegRNA_64,53.0,37.0,16.0
pegRNA_65,471.0,422.0,49.0
pegRNA_66,35.0,16.0,19.0
pegRNA_67,187.0,132.0,55.0
pegRNA_68,243.0,142.0,101.0
pegRNA_69,66.0,15.0,51.0
pegRNA_70,15.0,6.0,9.0
pegRNA_71,11.0,8.0,3.0
pegRNA_72,11.0,7.0,4.0
pegRNA_73,43.0,36.0,7.0
pegRNA_74,43.0,32.0,11.0
pegRNA_75,342.0,274.0,68.0
pegRNA_76,217.0,192.0,25.0
pegRNA_77,143.0,109.0,34.0
pegRNA_78,33.0,29.0,4.0
pegRNA_79,193.0,176.0,17.0
pegRNA_80,72.0,64.0,8.0
pegRNA_81,180.0,141.0,39.0
pegRNA_82,221.0,104.0,117.0
pegRNA_83,28.0,23.0,5.0
pegRNA_84,64.0,36.0,28.0
pegRNA_85,100.0,89.0,11.0
pegRNA_86,109.0,75.0,34.0
pegRNA_87,58.0,41.0,17.0
pegRNA_88,230.0,196.0,34.0
pegRNA_89,10.0,4.0,6.0
pegRNA_90,60.0,49.0,11.0
pegRNA_91,693.0,641.0,52.0
pegRNA_92,171.0,126.0,45.0
pegRNA_93,158.0,105.0,53.0
pegRNA_94,45.0,42.0,3.0
pegRNA_95,4.0,0.0,4.0
pegRNA_96,65.0,39.0,26.0
pegRNA_97,26.0,8.0,18.0
pegRNA_98,18.0,0.0,18.0
pegRNA_99,115.0,86.0,29.0
pegRNA_100,40.0,7.0,33.0
pegRNA_101,156.0,137.0,19.0
pegRNA_102,106.0,76.0,30.0
pegRNA_103,209.0,176.0,33.0
pegRNA_104,81.0,65.0,16.0
pegRNA_105,85.0,68.0,17.0
pegRNA_106,39.0,24.0,15.0
pegRNA_107,110.0,80.0,30.0
pegRNA_108,12.0,11.0,1.0
pegRNA_109,117.0,98.0,19.0
pegRNA_110,43.0,38.0,5.0
pegRNA_111,58.0,54.0,4.0
pegRNA_112,96.0,86.0,10.0
pegRNA_113,224.0,196.0,28.0
pegRNA_114,628.0,498.0,130.0
pegRNA_115,9.0,1.0,8.0
pegRNA_116,95.0,70.0,25.0
pegRNA_117,21.0,18.0,3.0
pegRNA_118,10.0,8.0,2.0
pegRNA_119,60.0,37.0,23.0
pegRNA_120,103.0,94.0,9.0
pegRNA_121,43.0,27.0,16.0
pegRNA_122,1102.0,1026.0,76.0
pegRNA_123,104.0,77.0,27.0
pegRNA_124,1143.0,1008.0,135.0
pegRNA_125,410.0,357.0,53.0
pegRNA_126,348.0,316.0,32.0
pegRNA_127,188.0,163.0,25.0
pegRNA_128,116.0,45.0,71.0
pegRNA_129,89.0,68.0,21.0
pegRNA_130,15.0,14.0,1.0
pegRNA_131,231.0,211.0,20.0
pegRNA_132,272.0,220.0,52.0
pegRNA_133,321.0,251.0,70.0
pegRNA_134,151.0,120.0,31.0
pegRNA_135,151.0,98.0,53.0
pegRNA_136,17.0,2.0,15.0
pegRNA_137,11.0,4.0,7.0
pegRNA_138,11.0,7.0,4.0
pegRNA_139,7.0,0.0,7.0
pegRNA_140,10.0,3.0,7.0
pegRNA_141,35.0,28.0,7.0
pegRNA_142,20.0,8.0,12.0
pegRNA_143,126.0,114.0,12.0
pegRNA_144,16.0,15.0,1.0
pegRNA_145,27.0,19.0,8.0
pegRNA_146,1248.0,1128.0,120.0
pegRNA_147,4187.0,3927.0,260.0
pegRNA_148,5.0,5.0,0.0
pegRNA_149,2584.0,2360.0,224.0
pegRNA_150,3351.0,3104.0,247.0
pegRNA_151,3.0,2.0,1.0
pegRNA_152,40.0,4.0,36.0
pegRNA_153,22.0,0.0,22.0
pegRNA_154,32.0,25.0,7.0
pegRNA_155,11.0,1.0,10.0
pegRNA_156,905.0,713.0,192.0
pegRNA_157,1156.0,953.0,203.0
pegRNA_158,936.0,767.0,169.0
pegRNA_159,248.0,199.0,49.0
pegRNA_160,1.0,0.0,1.0
pegRNA_161,72.0,22.0,50.0
pegRNA_162,109.0,32.0,77.0
pegRNA_163,91.0,44.0,47.0
pegRNA_164,42.0,6.0,36.0
pegRNA_165,20.0,3.0,17.0
pegRNA_166,233.0,220.0,13.0
pegRNA_167,217.0,180.0,37.0
pegRNA_168,51.0,49.0,2.0
pegRNA_169,26.0,17.0,9.0
pegRNA_170,51.0,37.0,14.0
pegRNA_171,87.0,79.0,8.0
pegRNA_172,238.0,196.0,42.0
pegRNA_173,48.0,39.0,9.0
pegRNA_174,4.0,4.0,0.0
pegRNA_175,386.0,318.0,68.0
pegRNA_176,39.0,15.0,24.0
pegRNA_177,72.0,40.0,32.0
pegRNA_178,5.0,0.0,5.0
pegRNA_179,17.0,8.0,9.0
pegRNA_180,7.0,1.0,6.0
pegRNA_181,45.0,38.0,7.0
pegRNA_182,87.0,58.0,29.0
pegRNA_183,74.0,59.0,15.0
pegRNA_184,51.0,43.0,8.0
pegRNA_185,447.0,304.0,143.0
pegRNA_186,70.0,53.0,17.0
pegRNA_187,119.0,90.0,29.0
pegRNA_188,53.0,21.0,32.0
pegRNA_189,54.0,21.0,33.0
pegRNA_190,73.0,67.0,6.0
pegRNA_191,8.0,5.0,3.0
pegRNA_192,20.0,18.0,2.0
pegRNA_193,37.0,27.0,10.0
pegRNA_194,33.0,27.0,6.0
pegRNA_195,273.0,227.0,46.0
pegRNA_196,30.0,22.0,8.0
pegRNA_197,9.0,5.0,4.0
pegRNA_198,13.0,4.0,9.0
pegRNA_199,32.0,16.0,16.0
pegRNA_200,5.0,0.0,5.0
pegRNA_201,101.0,87.0,14.0
pegRNA_202,51.0,41.0,10.0
pegRNA_203,116.0,93.0,23.0
pegRNA_204,52.0,40.0,12.0
pegRNA_205,92.0,69.0,23.0
pegRNA_206,73.0,52.0,21.0
pegRNA_207,56.0,20.0,36.0
pegRNA_208,57.0,56.0,1.0
pegRNA_209,1.0,0.0,1.0
pegRNA_210,72.0,61.0,11.0
pegRNA_211,69.0,48.0,21.0
pegRNA_212,41.0,30.0,11.0
pegRNA_213,118.0,78.0,40.0
pegRNA_214,1067.0,948.0,119.0
pegRNA_215,467.0,404.0,63.0
pegRNA_216,212.0,167.0,45.0
pegRNA_217,280.0,205.0,75.0
pegRNA_218,45.0,15.0,30.0
pegRNA_219,202.0,175.0,27.0
pegRNA_220,90.0,62.0,28.0
pegRNA_221,79.0,13.0,66.0
pegRNA_222,59.0,50.0,9.0
pegRNA_223,65.0,53.0,12.0
pegRNA_224,229.0,213.0,16.0
pegRNA_225,41.0,8.0,33.0
pegRNA_226,66.0,62.0,4.0
pegRNA_227,211.0,187.0,24.0
pegRNA_228,178.0,161.0,17.0
pegRNA_229,580.0,474.0,106.0
pegRNA_230,11.0,2.0,9.0
pegRNA_231,546.0,506.0,40.0
pegRNA_232,22.0,6.0,16.0
pegRNA_233,7.0,7.0,0.0
pegRNA_234,12.0,11.0,1.0
pegRNA_235,92.0,77.0,15.0
pegRNA_236,218.0,144.0,74.0
pegRNA_237,21.0,7.0,14.0
pegRNA_238,187.0,159.0,28.0
pegRNA_239,684.0,595.0,89.0
pegRNA_240,295.0,209.0,86.0
pegRNA_241,52.0,41.0,11.0
pegRNA_242,21.0,18.0,3.0
pegRNA_243,435.0,389.0,46.0
pegRNA_244,189.0,162.0,27.0
pegRNA_245,49.0,28.0,21.0
pegRNA_246,96.0,81.0,15.0
pegRNA_247,224.0,197.0,27.0
pegRNA_248,220.0,193.0,27.0
pegRNA_249,1718.0,1551.0,167.0
pegRNA_250,100.0,81.0,19.0
pegRNA_251,32.0,27.0,5.0
pegRNA_252,58.0,46.0,12.0
pegRNA_253,41.0,35.0,6.0
pegRNA_254,50.0,42.0,8.0
pegRNA_255,3.0,1.0,2.0
pegRNA_256,135.0,75.0,60.0
pegRNA_257,71.0,61.0,10.0
pegRNA_258,41.0,28.0,13.0
pegRNA_259,253.0,230.0,23.0
pegRNA_260,39.0,30.0,9.0
pegRNA_261,202.0,165.0,37.0
pegRNA_262,260.0,242.0,18.0
pegRNA_263,136.0,123.0,13.0
pegRNA_264,33.0,21.0,12.0
pegRNA_265,28.0,16.0,12.0
pegRNA_266,23.0,17.0,6.0
pegRNA_267,43.0,31.0,12.0
pegRNA_268,97.0,61.0,36.0
pegRNA_269,385.0,230.0,155.0
pegRNA_270,552.0,320.0,232.0
pegRNA_271,289.0,160.0,129.0
pegRNA_272,447.0,287.0,160.0
pegRNA_273,166.0,111.0,55.0
pegRNA_274,253.0,203.0,50.0
pegRNA_275,474.0,405.0,69.0
pegRNA_276,163.0,142.0,21.0
pegRNA_277,28.0,19.0,9.0
pegRNA_278,256.0,220.0,36.0
pegRNA_279,10.0,3.0,7.0
pegRNA_280,11.0,5.0,6.0
pegRNA_281,15.0,9.0,6.0
pegRNA_282,6.0,5.0,1.0
pegRNA_283,12.0,12.0,0.0
pegRNA_284,159.0,140.0,19.0
pegRNA_285,78.0,72.0,6.0
pegRNA_286,80.0,73.0,7.0
pegRNA_287,166.0,142.0,24.0
pegRNA_288,147.0,119.0,28.0
pegRNA_289,47.0,40.0,7.0
pegRNA_290,76.0,45.0,31.0
pegRNA_291,84.0,36.0,48.0
pegRNA_292,43.0,28.0,15.0
pegRNA_293,19.0,12.0,7.0
pegRNA_294,41.0,38.0,3.0
pegRNA_295,44.0,39.0,5.0
pegRNA_296,124.0,95.0,29.0
pegRNA_297,97.0,52.0,45.0
pegRNA_298,98.0,68.0,30.0
pegRNA_299,898.0,844.0,54.0
pegRNA_300,1456.0,1355.0,101.0
pegRNA_301,1153.0,1063.0,90.0
pegRNA_302,1454.0,1343.0,111.0
pegRNA_303,1139.0,1052.0,87.0
pegRNA_304,1681.0,1589.0,92.0
pegRNA_305,1989.0,1873.0,116.0
pegRNA_306,1803.0,1680.0,123.0
pegRNA_307,2022.0,1881.0,141.0
pegRNA_308,1247.0,1142.0,105.0
pegRNA_309,505.0,465.0,40.0
pegRNA_310,253.0,231.0,22.0
pegRNA_311,351.0,312.0,39.0
pegRNA_312,88.0,80.0,8.0
pegRNA_313,60.0,57.0,3.0
pegRNA_314,59.0,8.0,51.0
pegRNA_315,43.0,5.0,38.0
pegRNA_316,696.0,621.0,75.0
pegRNA_317,96.0,71.0,25.0
pegRNA_318,112.0,93.0,19.0
pegRNA_319,870.0,773.0,97.0
pegRNA_320,103.0,78.0,25.0
pegRNA_321,42.0,33.0,9.0
pegRNA_322,164.0,112.0,52.0
pegRNA_323,113.0,93.0,20.0
pegRNA_324,703.0,562.0,141.0
pegRNA_325,2.0,2.0,0.0
pegRNA_326,364.0,294.0,70.0
pegRNA_327,82.0,69.0,13.0
pegRNA_328,271.0,241.0,30.0
pegRNA_329,53.0,33.0,20.0
pegRNA_330,73.0,48.0,25.0
pegRNA_331,90.0,75.0,15.0
pegRNA_332,152.0,65.0,87.0
pegRNA_333,16.0,5.0,11.0
pegRNA_334,46.0,9.0,37.0
pegRNA_335,294.0,237.0,57.0
pegRNA_336,109.0,92.0,17.0
pegRNA_337,192.0,136.0,56.0
pegRNA_338,70.0,59.0,11.0
pegRNA_339,18.0,11.0,7.0
pegRNA_340,126.0,78.0,48.0
pegRNA_341,121.0,105.0,16.0
pegRNA_342,50.0,16.0,34.0
pegRNA_343,78.0,68.0,10.0
