pegRNA_id,total,extracted,recombined
pegRNA_1,135.0,77.0,58.0
pegRNA_2,380.0,325.0,55.0
pegRNA_3,183.0,83.0,100.0
pegRNA_4,58.0,37.0,21.0
pegRNA_5,189.0,177.0,12.0
pegRNA_6,518.0,417.0,101.0
pegRNA_7,708.0,587.0,121.0
pegRNA_8,80.0,77.0,3.0
pegRNA_9,26.0,23.0,3.0
pegRNA_10,55.0,46.0,9.0
pegRNA_11,56.0,16.0,40.0
pegRNA_12,221.0,175.0,46.0
pegRNA_13,75.0,6.0,69.0
pegRNA_14,190.0,179.0,11.0
pegRNA_15,43.0,29.0,14.0
pegRNA_16,192.0,134.0,58.0
pegRNA_17,183.0,179.0,4.0
pegRNA_18,307.0,289.0,18.0
pegRNA_19,141.0,70.0,71.0
pegRNA_20,72.0,63.0,9.0
pegRNA_21,1.0,1.0,0.0
pegRNA_22,128.0,59.0,69.0
pegRNA_23,8.0,2.0,6.0
pegRNA_24,5.0,2.0,3.0
pegRNA_25,12.0,12.0,0.0
pegRNA_26,40.0,13.0,27.0
pegRNA_27,52.0,37.0,15.0
pegRNA_28,1.0,0.0,1.0
pegRNA_29,283.0,269.0,14.0
pegRNA_30,176.0,135.0,41.0
pegRNA_31,12.0,4.0,8.0
pegRNA_32,21.0,20.0,1.0
pegRNA_33,23.0,23.0,0.0
pegRNA_34,53.0,50.0,3.0
pegRNA_35,101.0,100.0,1.0
pegRNA_36,442.0,389.0,53.0
pegRNA_37,246.0,195.0,51.0
pegRNA_38,142.0,127.0,15.0
pegRNA_39,287.0,245.0,42.0
pegRNA_40,89.0,89.0,0.0
pegRNA_41,124.0,102.0,22.0
pegRNA_42,64.0,29.0,35.0
pegRNA_43,60.0,56.0,4.0
pegRNA_44,191.0,171.0,20.0
pegRNA_45,52.0,50.0,2.0
pegRNA_46,114.0,85.0,29.0
pegRNA_47,59.0,27.0,32.0
pegRNA_48,56.0,49.0,7.0
pegRNA_49,114.0,111.0,3.0
pegRNA_50,72.0,71.0,1.0
pegRNA_51,14.0,10.0,4.0
pegRNA_52,13.0,7.0,6.0
pegRNA_53,61.0,40.0,21.0
pegRNA_54,18.0,9.0,9.0
pegRNA_55,7.0,7.0,0.0
pegRNA_56,99.0,73.0,26.0
pegRNA_57,104.0,96.0,8.0
pegRNA_58,165.0,137.0,28.0
pegRNA_59,149.0,119.0,30.0
pegRNA_60,44.0,43.0,1.0
pegRNA_61,71.0,37.0,34.0
pegRNA_62,37.0,13.0,24.0
pegRNA_63,19.0,16.0,3.0
pegRNA_64,47.0,39.0,8.0
pegRNA_65,427.0,404.0,23.0
pegRNA_66,53.0,19.0,34.0
pegRNA_67,261.0,191.0,70.0
pegRNA_68,284.0,252.0,32.0
pegRNA_69,101.0,5.0,96.0
pegRNA_70,40.0,24.0,16.0
pegRNA_71,16.0,12.0,4.0
pegRNA_72,12.0,12.0,0.0
pegRNA_73,42.0,42.0,0.0
pegRNA_74,92.0,79.0,13.0
pegRNA_75,409.0,391.0,18.0
pegRNA_76,273.0,249.0,24.0
pegRNA_77,246.0,223.0,23.0
pegRNA_78,26.0,17.0,9.0
pegRNA_79,233.0,206.0,27.0
pegRNA_80,118.0,105.0,13.0
pegRNA_81,333.0,222.0,111.0
pegRNA_82,243.0,145.0,98.0
pegRNA_83,17.0,16.0,1.0
pegRNA_84,150.0,63.0,87.0
pegRNA_85,179.0,139.0,40.0
pegRNA_86,132.0,105.0,27.0
pegRNA_87,100.0,100.0,0.0
pegRNA_88,385.0,364.0,21.0
pegRNA_89,10.0,7.0,3.0
pegRNA_90,55.0,50.0,5.0
pegRNA_91,695.0,636.0,59.0
pegRNA_92,203.0,166.0,37.0
pegRNA_93,212.0,149.0,63.0
pegRNA_94,60.0,46.0,14.0
pegRNA_95,19.0,0.0,19.0
pegRNA_96,95.0,50.0,45.0
pegRNA_97,25.0,16.0,9.0
pegRNA_98,19.0,6.0,13.0
pegRNA_99,152.0,131.0,21.0
pegRNA_100,41.0,19.0,22.0
pegRNA_101,231.0,211.0,20.0
pegRNA_102,78.0,71.0,7.0
pegRNA_103,181.0,166.0,15.0
pegRNA_104,98.0,72.0,26.0
pegRNA_105,72.0,64.0,8.0
pegRNA_106,44.0,42.0,2.0
pegRNA_107,144.0,118.0,26.0
pegRNA_108,12.0,12.0,0.0
pegRNA_109,101.0,93.0,8.0
pegRNA_110,38.0,37.0,1.0
pegRNA_111,54.0,51.0,3.0
pegRNA_112,79.0,67.0,12.0
pegRNA_113,157.0,151.0,6.0
pegRNA_114,502.0,443.0,59.0
pegRNA_115,7.0,2.0,5.0
pegRNA_116,131.0,95.0,36.0
pegRNA_117,27.0,25.0,2.0
pegRNA_118,19.0,14.0,5.0
pegRNA_119,55.0,48.0,7.0
pegRNA_120,129.0,118.0,11.0
pegRNA_121,78.0,56.0,22.0
pegRNA_122,847.0,771.0,76.0
pegRNA_123,151.0,134.0,17.0
pegRNA_124,805.0,752.0,53.0
pegRNA_125,527.0,476.0,51.0
pegRNA_126,445.0,430.0,15.0
pegRNA_127,232.0,201.0,31.0
pegRNA_128,88.0,39.0,49.0
pegRNA_129,118.0,92.0,26.0
pegRNA_130,11.0,4.0,7.0
pegRNA_131,253.0,216.0,37.0
