pegRNA_id,total,extracted,recombined
pegRNA_159,177.0,156.0,21.0
pegRNA_160,3.0,3.0,0.0
pegRNA_161,106.0,36.0,70.0
pegRNA_162,82.0,53.0,29.0
pegRNA_163,49.0,33.0,16.0
pegRNA_164,41.0,4.0,37.0
pegRNA_165,19.0,4.0,15.0
pegRNA_166,205.0,200.0,5.0
pegRNA_167,182.0,151.0,31.0
pegRNA_168,42.0,38.0,4.0
pegRNA_169,39.0,18.0,21.0
pegRNA_170,130.0,112.0,18.0
pegRNA_171,73.0,60.0,13.0
pegRNA_172,181.0,164.0,17.0
pegRNA_173,69.0,60.0,9.0
pegRNA_174,14.0,10.0,4.0
pegRNA_175,304.0,252.0,52.0
pegRNA_176,18.0,16.0,2.0
pegRNA_177,75.0,23.0,52.0
pegRNA_178,4.0,0.0,4.0
pegRNA_179,14.0,7.0,7.0
pegRNA_180,8.0,4.0,4.0
pegRNA_181,58.0,46.0,12.0
pegRNA_182,69.0,47.0,22.0
pegRNA_183,77.0,67.0,10.0
pegRNA_184,83.0,74.0,9.0
pegRNA_185,252.0,202.0,50.0
pegRNA_186,98.0,83.0,15.0
pegRNA_187,104.0,84.0,20.0
pegRNA_188,41.0,22.0,19.0
pegRNA_189,43.0,19.0,24.0
pegRNA_190,94.0,77.0,17.0
pegRNA_191,10.0,10.0,0.0
pegRNA_192,36.0,35.0,1.0
pegRNA_193,34.0,33.0,1.0
pegRNA_194,22.0,22.0,0.0
pegRNA_195,250.0,237.0,13.0
pegRNA_196,28.0,27.0,1.0
pegRNA_197,6.0,4.0,2.0
pegRNA_198,16.0,4.0,12.0
pegRNA_199,57.0,34.0,23.0
pegRNA_200,16.0,4.0,12.0
pegRNA_201,106.0,97.0,9.0
pegRNA_202,51.0,49.0,2.0
pegRNA_203,113.0,99.0,14.0
pegRNA_204,46.0,39.0,7.0
pegRNA_205,86.0,56.0,30.0
pegRNA_206,45.0,34.0,11.0
pegRNA_207,57.0,19.0,38.0
pegRNA_208,55.0,51.0,4.0
pegRNA_209,0.0,0.0,0.0
pegRNA_210,72.0,67.0,5.0
pegRNA_211,66.0,59.0,7.0
pegRNA_212,39.0,30.0,9.0
pegRNA_213,69.0,69.0,0.0
pegRNA_214,508.0,489.0,19.0
pegRNA_215,351.0,315.0,36.0
pegRNA_216,244.0,182.0,62.0
pegRNA_217,390.0,326.0,64.0
pegRNA_218,26.0,3.0,23.0
pegRNA_219,241.0,209.0,32.0
pegRNA_220,70.0,59.0,11.0
pegRNA_221,29.0,15.0,14.0
pegRNA_222,45.0,32.0,13.0
pegRNA_223,42.0,35.0,7.0
pegRNA_224,203.0,165.0,38.0
pegRNA_225,52.0,24.0,28.0
pegRNA_226,67.0,65.0,2.0
pegRNA_227,171.0,157.0,14.0
pegRNA_228,168.0,157.0,11.0
pegRNA_229,445.0,378.0,67.0
pegRNA_230,10.0,5.0,5.0
pegRNA_231,449.0,398.0,51.0
pegRNA_232,26.0,2.0,24.0
pegRNA_233,16.0,14.0,2.0
pegRNA_234,27.0,26.0,1.0
pegRNA_235,102.0,88.0,14.0
pegRNA_236,183.0,145.0,38.0
pegRNA_237,26.0,8.0,18.0
pegRNA_238,203.0,171.0,32.0
pegRNA_239,457.0,410.0,47.0
pegRNA_240,198.0,151.0,47.0
pegRNA_241,62.0,56.0,6.0
pegRNA_242,37.0,36.0,1.0
pegRNA_243,400.0,378.0,22.0
pegRNA_244,178.0,168.0,10.0
pegRNA_245,33.0,22.0,11.0
pegRNA_246,135.0,135.0,0.0
pegRNA_247,195.0,185.0,10.0
pegRNA_248,189.0,168.0,21.0
pegRNA_249,1068.0,980.0,88.0
pegRNA_250,104.0,91.0,13.0
pegRNA_251,53.0,45.0,8.0
pegRNA_252,70.0,67.0,3.0
pegRNA_253,48.0,44.0,4.0
pegRNA_254,29.0,27.0,2.0
pegRNA_255,5.0,2.0,3.0
pegRNA_256,225.0,186.0,39.0
pegRNA_257,100.0,83.0,17.0
pegRNA_258,36.0,32.0,4.0
pegRNA_259,555.0,514.0,41.0
pegRNA_260,47.0,42.0,5.0
pegRNA_261,237.0,212.0,25.0
pegRNA_262,300.0,284.0,16.0
pegRNA_263,160.0,151.0,9.0
pegRNA_264,46.0,44.0,2.0
pegRNA_265,73.0,44.0,29.0
pegRNA_266,29.0,24.0,5.0
pegRNA_267,42.0,33.0,9.0
pegRNA_268,78.0,59.0,19.0
pegRNA_269,380.0,286.0,94.0
pegRNA_270,519.0,427.0,92.0
pegRNA_271,301.0,207.0,94.0
pegRNA_272,290.0,250.0,40.0
pegRNA_273,303.0,231.0,72.0
pegRNA_274,174.0,163.0,11.0
pegRNA_275,255.0,242.0,13.0
pegRNA_276,131.0,117.0,14.0
pegRNA_277,26.0,26.0,0.0
pegRNA_278,211.0,188.0,23.0
pegRNA_279,32.0,4.0,28.0
pegRNA_280,8.0,7.0,1.0
pegRNA_281,21.0,12.0,9.0
pegRNA_282,11.0,9.0,2.0
pegRNA_283,27.0,25.0,2.0
pegRNA_284,109.0,87.0,22.0
pegRNA_285,60.0,56.0,4.0
pegRNA_286,62.0,47.0,15.0
pegRNA_287,135.0,108.0,27.0
pegRNA_288,112.0,109.0,3.0
pegRNA_289,24.0,24.0,0.0
pegRNA_290,65.0,40.0,25.0
pegRNA_291,80.0,59.0,21.0
pegRNA_292,52.0,26.0,26.0
pegRNA_293,20.0,12.0,8.0
pegRNA_294,39.0,34.0,5.0
pegRNA_295,95.0,85.0,10.0
pegRNA_296,112.0,104.0,8.0
pegRNA_297,124.0,94.0,30.0
pegRNA_298,133.0,101.0,32.0
pegRNA_299,2087.0,2013.0,74.0
pegRNA_300,1431.0,1401.0,30.0
pegRNA_301,1149.0,1097.0,52.0
pegRNA_302,1314.0,1281.0,33.0
pegRNA_303,1059.0,988.0,71.0
pegRNA_304,1494.0,1434.0,60.0
pegRNA_305,1677.0,1601.0,76.0
pegRNA_306,1627.0,1603.0,24.0
pegRNA_307,1567.0,1509.0,58.0
pegRNA_308,1591.0,1524.0,67.0
pegRNA_309,286.0,282.0,4.0
pegRNA_310,202.0,184.0,18.0
pegRNA_311,286.0,278.0,8.0
pegRNA_312,117.0,113.0,4.0
pegRNA_313,72.0,71.0,1.0
pegRNA_314,18.0,12.0,6.0
pegRNA_315,28.0,6.0,22.0
