pegRNA_id,total,extracted,recombined
pegRNA_1,95.0,49.0,46.0
pegRNA_2,317.0,273.0,44.0
pegRNA_3,123.0,56.0,67.0
pegRNA_4,69.0,34.0,35.0
pegRNA_5,143.0,126.0,17.0
pegRNA_6,485.0,393.0,92.0
pegRNA_7,654.0,543.0,111.0
pegRNA_8,90.0,69.0,21.0
pegRNA_9,43.0,37.0,6.0
pegRNA_10,66.0,59.0,7.0
pegRNA_11,38.0,20.0,18.0
pegRNA_12,164.0,118.0,46.0
pegRNA_13,67.0,8.0,59.0
pegRNA_14,99.0,94.0,5.0
pegRNA_15,27.0,11.0,16.0
pegRNA_16,211.0,138.0,73.0
pegRNA_17,97.0,60.0,37.0
pegRNA_18,210.0,190.0,20.0
pegRNA_19,81.0,42.0,39.0
pegRNA_20,26.0,21.0,5.0
pegRNA_21,1.0,1.0,0.0
pegRNA_22,79.0,47.0,32.0
pegRNA_23,6.0,0.0,6.0
pegRNA_24,15.0,2.0,13.0
pegRNA_25,18.0,13.0,5.0
pegRNA_26,30.0,11.0,19.0
pegRNA_27,61.0,25.0,36.0
pegRNA_28,1.0,0.0,1.0
pegRNA_29,233.0,217.0,16.0
pegRNA_30,143.0,108.0,35.0
pegRNA_31,16.0,2.0,14.0
pegRNA_32,56.0,35.0,21.0
pegRNA_33,22.0,20.0,2.0
pegRNA_34,55.0,52.0,3.0
pegRNA_35,85.0,77.0,8.0
pegRNA_36,440.0,399.0,41.0
pegRNA_37,208.0,176.0,32.0
pegRNA_38,132.0,117.0,15.0
pegRNA_39,231.0,209.0,22.0
pegRNA_40,39.0,32.0,7.0
pegRNA_41,100.0,72.0,28.0
pegRNA_42,44.0,19.0,25.0
pegRNA_43,65.0,39.0,26.0
pegRNA_44,149.0,145.0,4.0
pegRNA_45,54.0,50.0,4.0
pegRNA_46,111.0,80.0,31.0
pegRNA_47,18.0,10.0,8.0
pegRNA_48,36.0,21.0,15.0
pegRNA_49,136.0,121.0,15.0
pegRNA_50,50.0,47.0,3.0
pegRNA_51,14.0,9.0,5.0
pegRNA_52,11.0,7.0,4.0
pegRNA_53,38.0,21.0,17.0
pegRNA_54,22.0,4.0,18.0
pegRNA_55,4.0,4.0,0.0
pegRNA_56,63.0,39.0,24.0
pegRNA_57,61.0,57.0,4.0
pegRNA_58,123.0,95.0,28.0
pegRNA_59,93.0,66.0,27.0
pegRNA_60,17.0,16.0,1.0
pegRNA_61,74.0,33.0,41.0
pegRNA_62,28.0,24.0,4.0
pegRNA_63,15.0,10.0,5.0
pegRNA_64,45.0,40.0,5.0
pegRNA_65,432.0,365.0,67.0
pegRNA_66,56.0,26.0,30.0
pegRNA_67,214.0,158.0,56.0
pegRNA_68,186.0,127.0,59.0
pegRNA_69,68.0,7.0,61.0
pegRNA_70,18.0,12.0,6.0
pegRNA_71,11.0,9.0,2.0
pegRNA_72,3.0,2.0,1.0
pegRNA_73,29.0,26.0,3.0
pegRNA_74,57.0,45.0,12.0
pegRNA_75,352.0,320.0,32.0
pegRNA_76,214.0,188.0,26.0
pegRNA_77,207.0,156.0,51.0
pegRNA_78,29.0,27.0,2.0
pegRNA_79,230.0,210.0,20.0
pegRNA_80,108.0,96.0,12.0
pegRNA_81,194.0,151.0,43.0
pegRNA_82,164.0,98.0,66.0
