pegRNA_id,total,extracted,recombined
pegRNA_1,76.0,46.0,30.0
pegRNA_2,284.0,228.0,56.0
pegRNA_3,100.0,35.0,65.0
pegRNA_4,67.0,31.0,36.0
pegRNA_5,204.0,176.0,28.0
pegRNA_6,433.0,369.0,64.0
pegRNA_7,540.0,469.0,71.0
pegRNA_8,73.0,65.0,8.0
pegRNA_9,39.0,38.0,1.0
pegRNA_10,65.0,58.0,7.0
pegRNA_11,26.0,12.0,14.0
pegRNA_12,203.0,151.0,52.0
pegRNA_13,60.0,14.0,46.0
pegRNA_14,111.0,96.0,15.0
pegRNA_15,29.0,18.0,11.0
pegRNA_16,184.0,128.0,56.0
pegRNA_17,192.0,147.0,45.0
pegRNA_18,225.0,215.0,10.0
pegRNA_19,86.0,61.0,25.0
pegRNA_20,61.0,59.0,2.0
pegRNA_21,3.0,3.0,0.0
pegRNA_22,30.0,19.0,11.0
pegRNA_23,2.0,1.0,1.0
pegRNA_24,15.0,5.0,10.0
pegRNA_25,29.0,27.0,2.0
pegRNA_26,18.0,8.0,10.0
pegRNA_27,85.0,24.0,61.0
pegRNA_28,0.0,0.0,0.0
pegRNA_29,248.0,234.0,14.0
pegRNA_30,160.0,104.0,56.0
pegRNA_31,1.0,1.0,0.0
pegRNA_32,36.0,19.0,17.0
pegRNA_33,27.0,22.0,5.0
pegRNA_34,86.0,73.0,13.0
pegRNA_35,61.0,59.0,2.0
pegRNA_36,373.0,332.0,41.0
pegRNA_37,199.0,170.0,29.0
pegRNA_38,277.0,260.0,17.0
pegRNA_39,260.0,232.0,28.0
pegRNA_40,96.0,89.0,7.0
pegRNA_41,58.0,57.0,1.0
pegRNA_42,19.0,10.0,9.0
pegRNA_43,37.0,24.0,13.0
pegRNA_44,102.0,91.0,11.0
pegRNA_45,57.0,54.0,3.0
pegRNA_46,88.0,58.0,30.0
pegRNA_47,32.0,27.0,5.0
pegRNA_48,38.0,28.0,10.0
pegRNA_49,136.0,127.0,9.0
pegRNA_50,48.0,46.0,2.0
pegRNA_51,16.0,15.0,1.0
pegRNA_52,10.0,9.0,1.0
pegRNA_53,26.0,20.0,6.0
pegRNA_54,5.0,4.0,1.0
pegRNA_55,12.0,10.0,2.0
pegRNA_56,65.0,57.0,8.0
pegRNA_57,79.0,73.0,6.0
pegRNA_58,223.0,176.0,47.0
pegRNA_59,168.0,94.0,74.0
pegRNA_60,42.0,33.0,9.0
pegRNA_61,87.0,45.0,42.0
pegRNA_62,50.0,35.0,15.0
pegRNA_63,47.0,30.0,17.0
pegRNA_64,70.0,50.0,20.0
pegRNA_65,348.0,310.0,38.0
pegRNA_66,67.0,37.0,30.0
pegRNA_67,194.0,125.0,69.0
pegRNA_68,231.0,166.0,65.0
pegRNA_69,24.0,3.0,21.0
pegRNA_70,31.0,15.0,16.0
pegRNA_71,31.0,26.0,5.0
pegRNA_72,13.0,11.0,2.0
pegRNA_73,52.0,41.0,11.0
pegRNA_74,62.0,51.0,11.0
pegRNA_75,331.0,272.0,59.0
pegRNA_76,214.0,197.0,17.0
pegRNA_77,187.0,137.0,50.0
pegRNA_78,40.0,37.0,3.0
pegRNA_79,179.0,158.0,21.0
pegRNA_80,76.0,72.0,4.0
pegRNA_81,215.0,181.0,34.0
pegRNA_82,133.0,79.0,54.0
pegRNA_83,24.0,20.0,4.0
pegRNA_84,69.0,40.0,29.0
pegRNA_85,157.0,142.0,15.0
pegRNA_86,113.0,63.0,50.0
pegRNA_87,57.0,56.0,1.0
pegRNA_88,262.0,221.0,41.0
pegRNA_89,9.0,7.0,2.0
pegRNA_90,56.0,51.0,5.0
pegRNA_91,644.0,621.0,23.0
pegRNA_92,142.0,94.0,48.0
pegRNA_93,150.0,103.0,47.0
pegRNA_94,73.0,64.0,9.0
pegRNA_95,18.0,1.0,17.0
pegRNA_96,88.0,48.0,40.0
pegRNA_97,38.0,14.0,24.0
pegRNA_98,26.0,5.0,21.0
pegRNA_99,123.0,91.0,32.0
pegRNA_100,57.0,11.0,46.0
pegRNA_101,225.0,197.0,28.0
pegRNA_102,103.0,97.0,6.0
pegRNA_103,204.0,165.0,39.0
pegRNA_104,88.0,81.0,7.0
