pegRNA_id,total,extracted,recombined
pegRNA_1,152.0,87.0,65.0
pegRNA_2,442.0,359.0,83.0
pegRNA_3,145.0,88.0,57.0
pegRNA_4,137.0,88.0,49.0
pegRNA_5,246.0,205.0,41.0
pegRNA_6,420.0,379.0,41.0
pegRNA_7,720.0,628.0,92.0
pegRNA_8,80.0,70.0,10.0
pegRNA_9,57.0,48.0,9.0
pegRNA_10,113.0,91.0,22.0
pegRNA_11,49.0,25.0,24.0
pegRNA_12,203.0,142.0,61.0
pegRNA_13,92.0,1.0,91.0
pegRNA_14,243.0,223.0,20.0
pegRNA_15,53.0,27.0,26.0
pegRNA_16,259.0,176.0,83.0
pegRNA_17,206.0,131.0,75.0
pegRNA_18,309.0,296.0,13.0
pegRNA_19,175.0,119.0,56.0
pegRNA_20,91.0,77.0,14.0
pegRNA_21,10.0,9.0,1.0
pegRNA_22,85.0,49.0,36.0
pegRNA_23,3.0,2.0,1.0
pegRNA_24,33.0,8.0,25.0
pegRNA_25,40.0,34.0,6.0
pegRNA_26,23.0,15.0,8.0
pegRNA_27,70.0,35.0,35.0
pegRNA_28,5.0,0.0,5.0
pegRNA_29,450.0,438.0,12.0
pegRNA_30,255.0,207.0,48.0
pegRNA_31,15.0,12.0,3.0
pegRNA_32,57.0,46.0,11.0
pegRNA_33,37.0,31.0,6.0
pegRNA_34,82.0,75.0,7.0
pegRNA_35,133.0,113.0,20.0
pegRNA_36,613.0,548.0,65.0
pegRNA_37,335.0,301.0,34.0
pegRNA_38,171.0,153.0,18.0
pegRNA_39,368.0,348.0,20.0
pegRNA_40,72.0,66.0,6.0
pegRNA_41,123.0,103.0,20.0
pegRNA_42,46.0,34.0,12.0
pegRNA_43,69.0,51.0,18.0
pegRNA_44,133.0,127.0,6.0
pegRNA_45,104.0,96.0,8.0
pegRNA_46,234.0,143.0,91.0
pegRNA_47,58.0,41.0,17.0
pegRNA_48,43.0,38.0,5.0
pegRNA_49,165.0,161.0,4.0
pegRNA_50,73.0,68.0,5.0
pegRNA_51,24.0,17.0,7.0
pegRNA_52,15.0,14.0,1.0
pegRNA_53,77.0,36.0,41.0
pegRNA_54,43.0,7.0,36.0
pegRNA_55,5.0,5.0,0.0
pegRNA_56,133.0,96.0,37.0
pegRNA_57,81.0,78.0,3.0
pegRNA_58,153.0,133.0,20.0
pegRNA_59,180.0,92.0,88.0
pegRNA_60,41.0,33.0,8.0
pegRNA_61,138.0,45.0,93.0
pegRNA_62,33.0,33.0,0.0
pegRNA_63,41.0,23.0,18.0
pegRNA_64,112.0,84.0,28.0
pegRNA_65,557.0,479.0,78.0
pegRNA_66,77.0,26.0,51.0
pegRNA_67,248.0,198.0,50.0
pegRNA_68,306.0,216.0,90.0
pegRNA_69,64.0,20.0,44.0
pegRNA_70,52.0,38.0,14.0
pegRNA_71,18.0,12.0,6.0
pegRNA_72,8.0,6.0,2.0
pegRNA_73,43.0,30.0,13.0
pegRNA_74,77.0,64.0,13.0
pegRNA_75,384.0,303.0,81.0
pegRNA_76,273.0,237.0,36.0
pegRNA_77,214.0,194.0,20.0
pegRNA_78,74.0,57.0,17.0
pegRNA_79,351.0,317.0,34.0
pegRNA_80,141.0,127.0,14.0
pegRNA_81,204.0,175.0,29.0
pegRNA_82,190.0,127.0,63.0
pegRNA_83,55.0,38.0,17.0
pegRNA_84,104.0,64.0,40.0
pegRNA_85,171.0,164.0,7.0
pegRNA_86,153.0,113.0,40.0
pegRNA_87,115.0,98.0,17.0
pegRNA_88,377.0,360.0,17.0
pegRNA_89,6.0,5.0,1.0
pegRNA_90,70.0,61.0,9.0
pegRNA_91,826.0,751.0,75.0
pegRNA_92,227.0,190.0,37.0
pegRNA_93,121.0,105.0,16.0
pegRNA_94,62.0,43.0,19.0
pegRNA_95,2.0,0.0,2.0
pegRNA_96,78.0,56.0,22.0
pegRNA_97,36.0,13.0,23.0
pegRNA_98,34.0,3.0,31.0
pegRNA_99,238.0,194.0,44.0
pegRNA_100,30.0,14.0,16.0
pegRNA_101,203.0,175.0,28.0
pegRNA_102,173.0,121.0,52.0
pegRNA_103,216.0,211.0,5.0
pegRNA_104,133.0,116.0,17.0
pegRNA_105,119.0,104.0,15.0
pegRNA_106,59.0,57.0,2.0
pegRNA_107,98.0,95.0,3.0
pegRNA_108,18.0,18.0,0.0
pegRNA_109,139.0,101.0,38.0
pegRNA_110,81.0,72.0,9.0
pegRNA_111,72.0,60.0,12.0
pegRNA_112,145.0,136.0,9.0
pegRNA_113,246.0,237.0,9.0
pegRNA_114,665.0,604.0,61.0
pegRNA_115,13.0,1.0,12.0
pegRNA_116,118.0,92.0,26.0
pegRNA_117,45.0,41.0,4.0
pegRNA_118,18.0,18.0,0.0
pegRNA_119,80.0,51.0,29.0
pegRNA_120,213.0,193.0,20.0
pegRNA_121,58.0,41.0,17.0
pegRNA_122,994.0,930.0,64.0
pegRNA_123,105.0,83.0,22.0
pegRNA_124,990.0,933.0,57.0
pegRNA_125,566.0,522.0,44.0
pegRNA_126,456.0,422.0,34.0
pegRNA_127,283.0,249.0,34.0
pegRNA_128,83.0,38.0,45.0
pegRNA_129,181.0,136.0,45.0
pegRNA_130,36.0,30.0,6.0
pegRNA_131,270.0,258.0,12.0
pegRNA_132,318.0,294.0,24.0
pegRNA_133,318.0,287.0,31.0
pegRNA_134,218.0,203.0,15.0
pegRNA_135,149.0,139.0,10.0
pegRNA_136,2.0,2.0,0.0
pegRNA_137,26.0,20.0,6.0
pegRNA_138,24.0,18.0,6.0
pegRNA_139,11.0,3.0,8.0
pegRNA_140,14.0,3.0,11.0
pegRNA_141,66.0,63.0,3.0
