pegRNA_id,total,extracted,recombined
pegRNA_1,190.0,66.0,124.0
pegRNA_2,407.0,252.0,155.0
pegRNA_3,380.0,94.0,286.0
pegRNA_4,193.0,55.0,138.0
pegRNA_5,257.0,139.0,118.0
pegRNA_6,1382.0,839.0,543.0
pegRNA_7,1501.0,988.0,513.0
pegRNA_8,171.0,102.0,69.0
pegRNA_9,124.0,82.0,42.0
pegRNA_10,166.0,102.0,64.0
pegRNA_11,122.0,36.0,86.0
pegRNA_12,331.0,168.0,163.0
pegRNA_13,134.0,10.0,124.0
pegRNA_14,293.0,205.0,88.0
pegRNA_15,118.0,36.0,82.0
pegRNA_16,360.0,115.0,245.0
pegRNA_17,247.0,74.0,173.0
pegRNA_18,506.0,380.0,126.0
pegRNA_19,254.0,142.0,112.0
pegRNA_20,108.0,68.0,40.0
pegRNA_21,11.0,7.0,4.0
pegRNA_22,196.0,52.0,144.0
pegRNA_23,50.0,5.0,45.0
pegRNA_24,106.0,11.0,95.0
pegRNA_25,138.0,99.0,39.0
pegRNA_26,91.0,16.0,75.0
pegRNA_27,173.0,41.0,132.0
pegRNA_28,18.0,2.0,16.0
pegRNA_29,411.0,316.0,95.0
pegRNA_30,293.0,95.0,198.0
pegRNA_31,66.0,10.0,56.0
pegRNA_32,133.0,48.0,85.0
pegRNA_33,37.0,19.0,18.0
pegRNA_34,228.0,192.0,36.0
pegRNA_35,98.0,56.0,42.0
pegRNA_36,872.0,565.0,307.0
pegRNA_37,461.0,279.0,182.0
pegRNA_38,249.0,164.0,85.0
pegRNA_39,453.0,278.0,175.0
pegRNA_40,145.0,73.0,72.0
pegRNA_41,239.0,131.0,108.0
pegRNA_42,157.0,49.0,108.0
pegRNA_43,147.0,78.0,69.0
pegRNA_44,422.0,342.0,80.0
pegRNA_45,160.0,123.0,37.0
pegRNA_46,224.0,130.0,94.0
pegRNA_47,171.0,48.0,123.0
pegRNA_48,166.0,93.0,73.0
pegRNA_49,336.0,259.0,77.0
pegRNA_50,149.0,119.0,30.0
pegRNA_51,57.0,28.0,29.0
pegRNA_52,44.0,16.0,28.0
pegRNA_53,183.0,39.0,144.0
pegRNA_54,130.0,13.0,117.0
pegRNA_55,75.0,54.0,21.0
pegRNA_56,173.0,64.0,109.0
pegRNA_57,96.0,58.0,38.0
