pegRNA_id,total,extracted,recombined
pegRNA_1,82.0,63.0,19.0
pegRNA_2,257.0,213.0,44.0
pegRNA_3,132.0,66.0,66.0
pegRNA_4,20.0,20.0,0.0
pegRNA_5,140.0,137.0,3.0
pegRNA_6,341.0,298.0,43.0
pegRNA_7,483.0,419.0,64.0
pegRNA_8,66.0,65.0,1.0
pegRNA_9,41.0,41.0,0.0
pegRNA_10,46.0,40.0,6.0
pegRNA_11,32.0,7.0,25.0
pegRNA_12,77.0,76.0,1.0
pegRNA_13,15.0,15.0,0.0
pegRNA_14,108.0,100.0,8.0
pegRNA_15,22.0,22.0,0.0
pegRNA_16,122.0,108.0,14.0
pegRNA_17,88.0,87.0,1.0
pegRNA_18,187.0,171.0,16.0
pegRNA_19,65.0,57.0,8.0
pegRNA_20,39.0,39.0,0.0
pegRNA_21,1.0,1.0,0.0
pegRNA_22,40.0,40.0,0.0
pegRNA_23,3.0,3.0,0.0
pegRNA_24,7.0,6.0,1.0
pegRNA_25,18.0,17.0,1.0
pegRNA_26,7.0,7.0,0.0
pegRNA_27,39.0,39.0,0.0
pegRNA_28,0.0,0.0,0.0
pegRNA_29,230.0,228.0,2.0
pegRNA_30,116.0,89.0,27.0
pegRNA_31,4.0,4.0,0.0
pegRNA_32,26.0,25.0,1.0
pegRNA_33,36.0,36.0,0.0
pegRNA_34,55.0,40.0,15.0
pegRNA_35,43.0,43.0,0.0
pegRNA_36,353.0,328.0,25.0
pegRNA_37,229.0,180.0,49.0
pegRNA_38,103.0,101.0,2.0
pegRNA_39,220.0,187.0,33.0
pegRNA_40,40.0,31.0,9.0
pegRNA_41,76.0,73.0,3.0
pegRNA_42,38.0,38.0,0.0
pegRNA_43,27.0,27.0,0.0
pegRNA_44,201.0,201.0,0.0
pegRNA_45,69.0,69.0,0.0
pegRNA_46,83.0,71.0,12.0
pegRNA_47,27.0,27.0,0.0
pegRNA_48,20.0,20.0,0.0
pegRNA_49,117.0,114.0,3.0
pegRNA_50,78.0,78.0,0.0
pegRNA_51,4.0,4.0,0.0
pegRNA_52,21.0,20.0,1.0
pegRNA_53,65.0,16.0,49.0
pegRNA_54,37.0,11.0,26.0
