pegRNA_id,total,extracted,recombined
pegRNA_1,94.0,65.0,29.0
pegRNA_2,314.0,257.0,57.0
pegRNA_3,99.0,53.0,46.0
pegRNA_4,49.0,45.0,4.0
pegRNA_5,86.0,80.0,6.0
pegRNA_6,447.0,394.0,53.0
pegRNA_7,527.0,438.0,89.0
pegRNA_8,99.0,88.0,11.0
pegRNA_9,42.0,37.0,5.0
pegRNA_10,68.0,58.0,10.0
pegRNA_11,56.0,16.0,40.0
pegRNA_12,114.0,83.0,31.0
pegRNA_13,33.0,4.0,29.0
pegRNA_14,105.0,93.0,12.0
pegRNA_15,19.0,10.0,9.0
pegRNA_16,206.0,155.0,51.0
pegRNA_17,104.0,84.0,20.0
pegRNA_18,288.0,260.0,28.0
pegRNA_19,90.0,45.0,45.0
pegRNA_20,38.0,31.0,7.0
pegRNA_21,1.0,1.0,0.0
pegRNA_22,41.0,24.0,17.0
pegRNA_23,0.0,0.0,0.0
pegRNA_24,2.0,2.0,0.0
pegRNA_25,18.0,17.0,1.0
pegRNA_26,21.0,9.0,12.0
pegRNA_27,85.0,49.0,36.0
pegRNA_28,8.0,3.0,5.0
pegRNA_29,126.0,109.0,17.0
pegRNA_30,118.0,104.0,14.0
pegRNA_31,16.0,6.0,10.0
pegRNA_32,53.0,49.0,4.0
pegRNA_33,13.0,13.0,0.0
pegRNA_34,56.0,54.0,2.0
pegRNA_35,74.0,74.0,0.0
pegRNA_36,380.0,361.0,19.0
pegRNA_37,225.0,193.0,32.0
pegRNA_38,138.0,125.0,13.0
pegRNA_39,207.0,178.0,29.0
pegRNA_40,41.0,35.0,6.0
pegRNA_41,83.0,76.0,7.0
pegRNA_42,50.0,34.0,16.0
pegRNA_43,18.0,13.0,5.0
pegRNA_44,106.0,94.0,12.0
pegRNA_45,53.0,40.0,13.0
pegRNA_46,68.0,60.0,8.0
pegRNA_47,47.0,31.0,16.0
pegRNA_48,50.0,35.0,15.0
pegRNA_49,113.0,106.0,7.0
pegRNA_50,17.0,17.0,0.0
pegRNA_51,38.0,24.0,14.0
pegRNA_52,8.0,7.0,1.0
pegRNA_53,39.0,27.0,12.0
pegRNA_54,7.0,6.0,1.0
pegRNA_55,2.0,2.0,0.0
pegRNA_56,52.0,32.0,20.0
pegRNA_57,55.0,54.0,1.0
pegRNA_58,112.0,100.0,12.0
pegRNA_59,64.0,49.0,15.0
pegRNA_60,23.0,18.0,5.0
pegRNA_61,75.0,25.0,50.0
pegRNA_62,28.0,21.0,7.0
pegRNA_63,32.0,23.0,9.0
pegRNA_64,51.0,49.0,2.0
pegRNA_65,364.0,329.0,35.0
pegRNA_66,41.0,12.0,29.0
pegRNA_67,148.0,129.0,19.0
pegRNA_68,132.0,107.0,25.0
pegRNA_69,25.0,3.0,22.0
pegRNA_70,26.0,26.0,0.0
pegRNA_71,24.0,15.0,9.0
pegRNA_72,5.0,5.0,0.0
pegRNA_73,26.0,22.0,4.0
pegRNA_74,47.0,38.0,9.0
pegRNA_75,200.0,152.0,48.0
pegRNA_76,212.0,200.0,12.0
pegRNA_77,139.0,137.0,2.0
pegRNA_78,35.0,34.0,1.0
pegRNA_79,168.0,161.0,7.0
pegRNA_80,95.0,87.0,8.0
pegRNA_81,189.0,167.0,22.0
pegRNA_82,105.0,81.0,24.0
pegRNA_83,14.0,8.0,6.0
pegRNA_84,89.0,68.0,21.0
pegRNA_85,86.0,80.0,6.0
pegRNA_86,80.0,64.0,16.0
pegRNA_87,57.0,45.0,12.0
pegRNA_88,256.0,227.0,29.0
pegRNA_89,17.0,3.0,14.0
pegRNA_90,34.0,34.0,0.0
pegRNA_91,511.0,487.0,24.0
pegRNA_92,159.0,142.0,17.0
pegRNA_93,86.0,68.0,18.0
pegRNA_94,38.0,35.0,3.0
pegRNA_95,6.0,6.0,0.0
pegRNA_96,55.0,38.0,17.0
pegRNA_97,24.0,12.0,12.0
pegRNA_98,13.0,0.0,13.0
pegRNA_99,112.0,95.0,17.0
pegRNA_100,33.0,5.0,28.0
pegRNA_101,142.0,140.0,2.0
pegRNA_102,79.0,68.0,11.0
pegRNA_103,135.0,128.0,7.0
pegRNA_104,66.0,56.0,10.0
pegRNA_105,67.0,65.0,2.0
pegRNA_106,33.0,33.0,0.0
pegRNA_107,89.0,74.0,15.0
pegRNA_108,14.0,13.0,1.0
pegRNA_109,84.0,80.0,4.0
pegRNA_110,41.0,40.0,1.0
pegRNA_111,54.0,47.0,7.0
pegRNA_112,82.0,80.0,2.0
pegRNA_113,153.0,124.0,29.0
pegRNA_114,442.0,396.0,46.0
pegRNA_115,5.0,3.0,2.0
pegRNA_116,71.0,52.0,19.0
pegRNA_117,26.0,24.0,2.0
pegRNA_118,14.0,12.0,2.0
pegRNA_119,52.0,46.0,6.0
pegRNA_120,129.0,119.0,10.0
pegRNA_121,38.0,32.0,6.0
pegRNA_122,679.0,635.0,44.0
pegRNA_123,108.0,81.0,27.0
pegRNA_124,652.0,605.0,47.0
pegRNA_125,365.0,337.0,28.0
pegRNA_126,200.0,183.0,17.0
pegRNA_127,155.0,121.0,34.0
pegRNA_128,44.0,30.0,14.0
pegRNA_129,78.0,65.0,13.0
pegRNA_130,12.0,9.0,3.0
pegRNA_131,213.0,195.0,18.0
pegRNA_132,197.0,177.0,20.0
pegRNA_133,266.0,215.0,51.0
pegRNA_134,155.0,144.0,11.0
pegRNA_135,122.0,112.0,10.0
pegRNA_136,17.0,1.0,16.0
pegRNA_137,7.0,4.0,3.0
pegRNA_138,20.0,17.0,3.0
pegRNA_139,9.0,1.0,8.0
pegRNA_140,11.0,3.0,8.0
pegRNA_141,50.0,48.0,2.0
pegRNA_142,41.0,9.0,32.0
pegRNA_143,117.0,100.0,17.0
pegRNA_144,15.0,12.0,3.0
pegRNA_145,26.0,18.0,8.0
pegRNA_146,1077.0,1031.0,46.0
pegRNA_147,2467.0,2391.0,76.0
pegRNA_148,6.0,6.0,0.0
pegRNA_149,1761.0,1664.0,97.0
pegRNA_150,2037.0,1896.0,141.0
pegRNA_151,5.0,5.0,0.0
pegRNA_152,13.0,5.0,8.0
pegRNA_153,17.0,0.0,17.0
pegRNA_154,48.0,42.0,6.0
pegRNA_155,12.0,7.0,5.0
pegRNA_156,658.0,605.0,53.0
pegRNA_157,787.0,656.0,131.0
pegRNA_158,646.0,609.0,37.0
pegRNA_159,173.0,163.0,10.0
pegRNA_160,3.0,3.0,0.0
pegRNA_161,56.0,34.0,22.0
pegRNA_162,67.0,43.0,24.0
pegRNA_163,87.0,70.0,17.0
pegRNA_164,46.0,11.0,35.0
pegRNA_165,6.0,0.0,6.0
pegRNA_166,192.0,182.0,10.0
pegRNA_167,203.0,155.0,48.0
pegRNA_168,37.0,36.0,1.0
pegRNA_169,27.0,13.0,14.0
pegRNA_170,107.0,93.0,14.0
pegRNA_171,86.0,82.0,4.0
pegRNA_172,227.0,195.0,32.0
pegRNA_173,51.0,41.0,10.0
pegRNA_174,13.0,7.0,6.0
pegRNA_175,318.0,235.0,83.0
pegRNA_176,11.0,11.0,0.0
pegRNA_177,37.0,34.0,3.0
pegRNA_178,1.0,0.0,1.0
pegRNA_179,11.0,9.0,2.0
pegRNA_180,12.0,0.0,12.0
pegRNA_181,42.0,36.0,6.0
pegRNA_182,94.0,67.0,27.0
pegRNA_183,54.0,45.0,9.0
pegRNA_184,77.0,72.0,5.0
pegRNA_185,260.0,192.0,68.0
pegRNA_186,91.0,80.0,11.0
pegRNA_187,117.0,79.0,38.0
pegRNA_188,42.0,25.0,17.0
pegRNA_189,37.0,22.0,15.0
pegRNA_190,125.0,118.0,7.0
pegRNA_191,8.0,8.0,0.0
pegRNA_192,13.0,13.0,0.0
pegRNA_193,41.0,31.0,10.0
pegRNA_194,21.0,20.0,1.0
pegRNA_195,253.0,236.0,17.0
pegRNA_196,18.0,18.0,0.0
pegRNA_197,22.0,5.0,17.0
pegRNA_198,0.0,0.0,0.0
pegRNA_199,24.0,21.0,3.0
pegRNA_200,3.0,2.0,1.0
pegRNA_201,121.0,115.0,6.0
pegRNA_202,53.0,46.0,7.0
pegRNA_203,75.0,60.0,15.0
pegRNA_204,62.0,60.0,2.0
pegRNA_205,70.0,55.0,15.0
pegRNA_206,69.0,49.0,20.0
pegRNA_207,60.0,25.0,35.0
pegRNA_208,40.0,40.0,0.0
