pegRNA_id,total,extracted,recombined
pegRNA_1,132.0,62.0,70.0
pegRNA_2,339.0,241.0,98.0
pegRNA_3,118.0,30.0,88.0
pegRNA_4,48.0,41.0,7.0
pegRNA_5,186.0,136.0,50.0
pegRNA_6,449.0,361.0,88.0
pegRNA_7,820.0,671.0,149.0
pegRNA_8,154.0,115.0,39.0
pegRNA_9,72.0,68.0,4.0
pegRNA_10,84.0,70.0,14.0
pegRNA_11,19.0,12.0,7.0
pegRNA_12,184.0,156.0,28.0
pegRNA_13,45.0,4.0,41.0
pegRNA_14,111.0,88.0,23.0
pegRNA_15,45.0,20.0,25.0
pegRNA_16,223.0,179.0,44.0
pegRNA_17,146.0,119.0,27.0
pegRNA_18,361.0,340.0,21.0
pegRNA_19,116.0,57.0,59.0
pegRNA_20,63.0,56.0,7.0
pegRNA_21,9.0,7.0,2.0
pegRNA_22,60.0,50.0,10.0
pegRNA_23,6.0,3.0,3.0
pegRNA_24,25.0,9.0,16.0
pegRNA_25,21.0,20.0,1.0
pegRNA_26,41.0,18.0,23.0
pegRNA_27,94.0,37.0,57.0
pegRNA_28,2.0,1.0,1.0
pegRNA_29,244.0,230.0,14.0
pegRNA_30,111.0,87.0,24.0
pegRNA_31,6.0,4.0,2.0
pegRNA_32,91.0,36.0,55.0
pegRNA_33,8.0,8.0,0.0
pegRNA_34,93.0,88.0,5.0
pegRNA_35,95.0,75.0,20.0
pegRNA_36,687.0,625.0,62.0
pegRNA_37,336.0,306.0,30.0
pegRNA_38,189.0,164.0,25.0
pegRNA_39,438.0,376.0,62.0
pegRNA_40,51.0,49.0,2.0
pegRNA_41,158.0,121.0,37.0
pegRNA_42,50.0,29.0,21.0
pegRNA_43,83.0,56.0,27.0
pegRNA_44,163.0,155.0,8.0
pegRNA_45,93.0,90.0,3.0
pegRNA_46,147.0,111.0,36.0
pegRNA_47,95.0,53.0,42.0
pegRNA_48,59.0,47.0,12.0
pegRNA_49,134.0,129.0,5.0
pegRNA_50,81.0,77.0,4.0
pegRNA_51,24.0,23.0,1.0
pegRNA_52,23.0,21.0,2.0
pegRNA_53,66.0,44.0,22.0
pegRNA_54,46.0,5.0,41.0
pegRNA_55,19.0,18.0,1.0
pegRNA_56,74.0,59.0,15.0
pegRNA_57,55.0,53.0,2.0
pegRNA_58,162.0,137.0,25.0
pegRNA_59,121.0,82.0,39.0
pegRNA_60,29.0,16.0,13.0
pegRNA_61,57.0,35.0,22.0
pegRNA_62,47.0,35.0,12.0
pegRNA_63,36.0,25.0,11.0
pegRNA_64,148.0,126.0,22.0
pegRNA_65,558.0,473.0,85.0
pegRNA_66,35.0,8.0,27.0
