pegRNA_id,total,extracted,recombined
pegRNA_1,80.0,49.0,31.0
pegRNA_2,288.0,231.0,57.0
pegRNA_3,114.0,12.0,102.0
pegRNA_4,74.0,43.0,31.0
pegRNA_5,119.0,102.0,17.0
pegRNA_6,635.0,536.0,99.0
pegRNA_7,811.0,684.0,127.0
pegRNA_8,143.0,128.0,15.0
pegRNA_9,33.0,28.0,5.0
pegRNA_10,57.0,51.0,6.0
pegRNA_11,29.0,12.0,17.0
pegRNA_12,143.0,117.0,26.0
pegRNA_13,83.0,9.0,74.0
pegRNA_14,65.0,61.0,4.0
pegRNA_15,28.0,9.0,19.0
pegRNA_16,232.0,150.0,82.0
pegRNA_17,124.0,79.0,45.0
pegRNA_18,260.0,238.0,22.0
pegRNA_19,91.0,51.0,40.0
pegRNA_20,38.0,35.0,3.0
pegRNA_21,1.0,0.0,1.0
pegRNA_22,59.0,28.0,31.0
pegRNA_23,12.0,1.0,11.0
pegRNA_24,15.0,2.0,13.0
pegRNA_25,12.0,12.0,0.0
pegRNA_26,20.0,5.0,15.0
pegRNA_27,69.0,40.0,29.0
pegRNA_28,3.0,1.0,2.0
pegRNA_29,152.0,142.0,10.0
pegRNA_30,125.0,71.0,54.0
pegRNA_31,16.0,5.0,11.0
pegRNA_32,29.0,19.0,10.0
pegRNA_33,10.0,9.0,1.0
pegRNA_34,50.0,46.0,4.0
pegRNA_35,89.0,64.0,25.0
pegRNA_36,597.0,528.0,69.0
pegRNA_37,315.0,268.0,47.0
pegRNA_38,155.0,136.0,19.0
pegRNA_39,314.0,256.0,58.0
pegRNA_40,42.0,36.0,6.0
pegRNA_41,92.0,65.0,27.0
pegRNA_42,34.0,14.0,20.0
pegRNA_43,34.0,27.0,7.0
pegRNA_44,110.0,97.0,13.0
pegRNA_45,53.0,51.0,2.0
pegRNA_46,94.0,64.0,30.0
pegRNA_47,51.0,19.0,32.0
pegRNA_48,33.0,28.0,5.0
pegRNA_49,104.0,102.0,2.0
pegRNA_50,54.0,54.0,0.0
pegRNA_51,19.0,15.0,4.0
pegRNA_52,5.0,1.0,4.0
pegRNA_53,40.0,19.0,21.0
pegRNA_54,31.0,2.0,29.0
pegRNA_55,7.0,7.0,0.0
pegRNA_56,55.0,34.0,21.0
pegRNA_57,34.0,29.0,5.0
pegRNA_58,167.0,121.0,46.0
pegRNA_59,111.0,69.0,42.0
pegRNA_60,11.0,11.0,0.0
pegRNA_61,112.0,44.0,68.0
pegRNA_62,25.0,19.0,6.0
pegRNA_63,28.0,21.0,7.0
pegRNA_64,60.0,48.0,12.0
pegRNA_65,486.0,431.0,55.0
pegRNA_66,42.0,18.0,24.0
pegRNA_67,238.0,173.0,65.0
pegRNA_68,218.0,136.0,82.0
pegRNA_69,43.0,10.0,33.0
pegRNA_70,25.0,14.0,11.0
pegRNA_71,11.0,10.0,1.0
pegRNA_72,6.0,5.0,1.0
pegRNA_73,29.0,29.0,0.0
pegRNA_74,64.0,46.0,18.0
pegRNA_75,322.0,257.0,65.0
pegRNA_76,194.0,166.0,28.0
pegRNA_77,165.0,122.0,43.0
pegRNA_78,21.0,19.0,2.0
pegRNA_79,160.0,150.0,10.0
pegRNA_80,75.0,70.0,5.0
pegRNA_81,196.0,149.0,47.0
pegRNA_82,167.0,68.0,99.0
pegRNA_83,14.0,11.0,3.0
pegRNA_84,91.0,47.0,44.0
pegRNA_85,112.0,104.0,8.0
pegRNA_86,69.0,55.0,14.0
pegRNA_87,55.0,42.0,13.0
pegRNA_88,192.0,177.0,15.0
pegRNA_89,8.0,2.0,6.0
pegRNA_90,29.0,28.0,1.0
pegRNA_91,723.0,685.0,38.0
